hum3,hum2,hum1,dewp3,dewp2,dewp1,tavg3,tavg2,tavg1,yTavg
45,88,80,20,39,21,47.5,39,26.5,22.5
88,80,82,39,21,23,39,26.5,22.5,34.5
80,82,82,21,23,35,26.5,22.5,34.5,37
82,82,28,23,35,7,22.5,34.5,37,33
82,28,81,35,7,32,34.5,37,33,28
28,81,89,7,32,29,37,33,28,29.5
81,89,62,32,29,14,33,28,29.5,38
89,62,47,29,14,15,28,29.5,38,44
62,47,64,14,15,29,29.5,38,44,49
47,64,38,15,29,22,38,44,49,41.5
64,38,34,29,22,13,44,49,41.5,33
38,34,76,22,13,26,49,41.5,33,11.5
34,76,81,13,26,11,41.5,33,11.5,-7
76,81,91,26,11,7,33,11.5,-7,-5.5
81,91,67,11,7,-9,11.5,-7,-5.5,15
91,67,86,7,-9,15,-7,-5.5,15,28.5
67,86,81,-9,15,28,-5.5,15,28.5,33.5
86,81,75,15,28,21,15,28.5,33.5,20
81,75,83,28,21,21,28.5,33.5,20,24
75,83,68,21,21,14,33.5,20,24,2
83,68,93,21,14,9,20,24,2,6
68,93,91,14,9,16,24,2,6,15.5
93,91,87,9,16,20,2,6,15.5,27
91,87,62,16,20,18,6,15.5,27,38.5
87,62,43,20,18,13,15.5,27,38.5,49.5
62,43,33,18,13,14,27,38.5,49.5,43.5
43,33,51,13,14,25,38.5,49.5,43.5,50.5
33,51,83,14,25,47,49.5,43.5,50.5,51.5
51,83,36,25,47,24,43.5,50.5,51.5,37.5
83,36,42,47,24,15,50.5,51.5,37.5,39
36,42,51,24,15,18,51.5,37.5,39,45.5
42,51,28,15,18,12,37.5,39,45.5,33.5
51,28,95,18,12,37,39,45.5,33.5,31.5
28,95,46,12,37,10,45.5,33.5,31.5,34
95,46,72,37,10,27,33.5,31.5,34,36
46,72,64,10,27,21,31.5,34,36,31.5
72,64,89,27,21,35,34,36,31.5,18.5
64,89,65,21,35,11,36,31.5,18.5,37.5
89,65,38,35,11,1,31.5,18.5,37.5,34.5
65,38,87,11,1,28,18.5,37.5,34.5,41
38,87,79,1,28,38,37.5,34.5,41,43
87,79,38,28,38,17,34.5,41,43,41
79,38,27,38,17,4,41,43,41,47.5
38,27,73,17,4,42,43,41,47.5,33
27,73,79,4,42,24,41,47.5,33,31.5
73,79,67,42,24,22,47.5,33,31.5,39.5
79,67,65,24,22,25,33,31.5,39.5,23
67,65,85,22,25,22,31.5,39.5,23,26
65,85,81,25,22,21,39.5,23,26,38.5
85,81,47,22,21,22,23,26,38.5,48
81,47,28,21,22,9,26,38.5,48,51.5
47,28,26,22,9,18,38.5,48,51.5,41.5
28,26,49,9,18,22,48,51.5,41.5,41.5
26,49,31,18,22,9,51.5,41.5,41.5,45.5
49,31,64,22,9,29,41.5,41.5,45.5,44
31,64,51,9,29,23,41.5,45.5,44,56
64,51,79,29,23,51,45.5,44,56,47.5
51,79,79,23,51,45,44,56,47.5,43.5
79,79,42,51,45,19,56,47.5,43.5,53.5
79,42,32,45,19,20,47.5,43.5,53.5,52.5
42,32,93,19,20,53,43.5,53.5,52.5,55
32,93,31,20,53,21,53.5,52.5,55,48.5
93,31,84,53,21,50,52.5,55,48.5,42
31,84,64,21,50,28,55,48.5,42,40.5
84,64,32,50,28,11,48.5,42,40.5,42.5
64,32,41,28,11,20,42,40.5,42.5,40
32,41,44,11,20,17,40.5,42.5,40,45
41,44,46,20,17,21,42.5,40,45,42.5
44,46,85,17,21,35,40,45,42.5,39
46,85,63,21,35,28,45,42.5,39,43
85,63,40,35,28,18,42.5,39,43,55
63,40,90,28,18,56,39,43,55,54.5
40,90,80,18,56,49,43,55,54.5,62
90,80,32,56,49,30,55,54.5,62,46.5
80,32,25,49,30,12,54.5,62,46.5,35.5
32,25,83,30,12,23,62,46.5,35.5,60
25,83,70,12,23,49,46.5,35.5,60,44
83,70,46,23,49,19,35.5,60,44,49.5
70,46,81,49,19,47,60,44,49.5,53
46,81,65,19,47,42,44,49.5,53,56
81,65,22,47,42,19,49.5,53,56,42.5
65,22,52,42,19,21,53,56,42.5,45
22,52,82,19,21,42,56,42.5,45,51
52,82,38,21,42,22,42.5,45,51,44.5
82,38,53,42,22,25,45,51,44.5,42.5
38,53,73,22,25,39,51,44.5,42.5,44
53,73,75,25,39,35,44.5,42.5,44,47.5
73,75,47,39,35,28,42.5,44,47.5,57
75,47,28,35,28,22,44,47.5,57,54
47,28,36,28,22,23,47.5,57,54,47
28,36,36,22,23,18,57,54,47,43.5
36,36,42,23,18,16,54,47,43.5,52.5
36,42,40,18,16,28,47,43.5,52.5,49
42,40,38,16,28,23,43.5,52.5,49,43
40,38,47,28,23,15,52.5,49,43,44
38,47,47,23,15,23,49,43,44,47
47,47,41,15,23,22,43,44,47,45
47,41,87,23,22,45,44,47,45,44.5
41,87,36,22,45,17,47,45,44.5,52.5
87,36,33,45,17,23,45,44.5,52.5,53.5
36,33,28,17,23,20,44.5,52.5,53.5,40.5
33,28,83,23,20,37,52.5,53.5,40.5,40.5
28,83,93,20,37,44,53.5,40.5,40.5,41.5
83,93,64,37,44,28,40.5,40.5,41.5,53
93,64,57,44,28,34,40.5,41.5,53,48
64,57,36,28,34,20,41.5,53,48,49
57,36,49,34,20,25,53,48,49,63.5
36,49,31,20,25,32,48,49,63.5,66
49,31,28,25,32,28,49,63.5,66,68
31,28,26,32,28,32,63.5,66,68,69.5
28,26,32,28,32,39,66,68,69.5,60
26,32,27,32,39,22,68,69.5,60,38.5
32,27,86,39,22,32,69.5,60,38.5,39.5
27,86,86,22,32,41,60,38.5,39.5,51
86,86,91,32,41,51,38.5,39.5,51,41
86,91,42,41,51,18,39.5,51,41,42
91,42,78,51,18,37,51,41,42,51.5
42,78,80,18,37,48,41,42,51.5,51
78,80,38,37,48,17,42,51.5,51,48.5
80,38,89,48,17,46,51.5,51,48.5,43
38,89,85,17,46,40,51,48.5,43,50
89,85,37,46,40,21,48.5,43,50,56
85,37,26,40,21,23,43,50,56,62
37,26,37,21,23,30,50,56,62,59.5
26,37,33,23,30,23,56,62,59.5,48
37,33,51,30,23,26,62,59.5,48,54.5
33,51,60,23,26,35,59.5,48,54.5,59.5
51,60,35,26,35,28,48,54.5,59.5,54.5
60,35,29,35,28,25,54.5,59.5,54.5,57
35,29,39,28,25,30,59.5,54.5,57,62
29,39,76,25,30,49,54.5,57,62,60.5
39,76,28,30,49,25,57,62,60.5,56.5
76,28,65,49,25,43,62,60.5,56.5,65
28,65,29,25,43,32,60.5,56.5,65,74
65,29,25,43,32,35,56.5,65,74,60.5
29,25,31,32,35,24,65,74,60.5,63
25,31,28,35,24,26,74,60.5,63,72
31,28,20,24,26,23,60.5,63,72,73
28,20,33,26,23,35,63,72,73,69.5
20,33,29,23,35,35,72,73,69.5,65.5
33,29,43,35,35,40,73,69.5,65.5,59.5
29,43,93,35,40,60,69.5,65.5,59.5,60
43,93,30,40,60,23,65.5,59.5,60,67
93,30,36,60,23,36,59.5,60,67,66
30,36,31,23,36,36,60,67,66,70
36,31,39,36,36,37,67,66,70,67.5
31,39,36,36,37,41,66,70,67.5,69
39,36,28,37,41,27,70,67.5,69,71.5
36,28,40,41,27,39,67.5,69,71.5,63
28,40,48,27,39,37,69,71.5,63,66
40,48,26,39,37,32,71.5,63,66,67
48,26,56,37,32,38,63,66,67,57.5
26,56,33,32,38,22,66,67,57.5,64.5
56,33,61,38,22,49,67,57.5,64.5,64
33,61,28,22,49,24,57.5,64.5,64,71
61,28,22,49,24,30,64.5,64,71,73
28,22,34,24,30,39,64,71,73,73
22,34,32,30,39,42,71,73,73,76.5
34,32,33,39,42,43,73,73,76.5,68.5
32,33,33,42,43,37,73,76.5,68.5,76
33,33,33,43,37,41,76.5,68.5,76,78
33,33,34,37,41,41,68.5,76,78,74
33,34,32,41,41,41,76,78,74,70.5
34,32,30,41,41,32,78,74,70.5,73
32,30,38,41,32,43,74,70.5,73,76.5
30,38,29,32,43,42,70.5,73,76.5,79
38,29,28,43,42,40,73,76.5,79,76
29,28,25,42,40,37,76.5,79,76,74
28,25,35,40,37,43,79,76,74,72
25,35,35,37,43,35,76,74,72,75.5
35,35,28,43,35,39,74,72,75.5,74.5
35,28,40,35,39,45,72,75.5,74.5,74
28,40,22,39,45,35,75.5,74.5,74,74
40,22,25,45,35,39,74.5,74,74,69.5
22,25,62,35,39,57,74,74,69.5,71.5
25,62,43,39,57,43,74,69.5,71.5,73
62,43,31,57,43,37,69.5,71.5,73,74.5
43,31,37,43,37,42,71.5,73,74.5,75
31,37,35,37,42,38,73,74.5,75,79
37,35,32,42,38,43,74.5,75,79,80
35,32,31,38,43,46,75,79,80,77.5
32,31,33,43,46,41,79,80,77.5,78
31,33,31,46,41,42,80,77.5,78,75.5
33,31,41,41,42,45,77.5,78,75.5,77
31,41,27,42,45,41,78,75.5,77,79.5
41,27,38,45,41,48,75.5,77,79.5,78.5
27,38,26,41,48,40,77,79.5,78.5,76.5
38,26,33,48,40,42,79.5,78.5,76.5,78.5
26,33,34,40,42,46,78.5,76.5,78.5,76.5
33,34,42,42,46,46,76.5,78.5,76.5,75
